PROVINCE,DIVISION,DISTRICT,TEHSIL,NOW_POPULATION,POPULATION 1998,FEMALE_POPULATION,MALE_POPULATION,AREA (sq.km),AVG_HOUSEHOLD_SIZE,TRANSGENDER_POPULATION,SEX_RATIO,ANNUAL_GROWTH_RATE,Population Density,POPULATION_INCREASE
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,BAHAWALNAGAR TEHSIL,813390,541553,398046,415255,1729.0,12.12,89,104.710313,2.22197,470.43956043956047,271837
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,CHISHTIAN TEHSIL,689766,498270,340351,349334,1500.0,12.16,81,102.731023,1.65201,459.844,191496
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,FORT ABBAS TEHSIL,422768,285596,208691,214015,2536.0,12.32,62,102.310401,1.93306,166.70662460567823,137172
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,HAROONABAD TEHSIL,524715,381767,261044,263623,1295.0,12.17,48,101.310015,1.33279,405.18532818532816,142948
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,MINCHINABAD TEHSIL,525017,354261,256768,268200,1818.0,12.629999999999999,49,104.671031,1.9348,288.7882288228823,170756
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,AHMADPUR EAST TEHSIL,1078586,718297,526970,551528,1738.0,12.81,88,104.6810456,2.16218,620.590333716916,360289
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,BAHAWALPUR CITY TEHSIL,682116,419542,331842,350186,1490.0,5.91,88,0.010553,0.0347,457.7959731543624,262574
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,BAHAWALPUR SADDAR TEHSIL,575886,387038,274273,301550,745.0,12.31,63,104.913502,2.11211,773.0013422818791,188848
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,HASILPUR TEHSIL,456360,317513,227473,228860,1490.0,12.120000000000001,27,100.889981,1.72257,306.28187919463085,138847
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,KHAIRPUR TAMEWALI TEHSIL,262923,183903,128983,133933,993.0,11.969999999999999,7,104.1310231,1.82231,264.7764350453172,79020
